order_id,customer_id,amount,order_date
ORD0001,CUST082,499,2026-08-01
ORD0002,CUST095,1499,2026-08-08
ORD0003,CUST029,799,2026-08-04
ORD0004,CUST087,3999,2026-08-03
ORD0005,CUST076,2499,2026-08-02
ORD0006,CUST004,499,2026-08-07
ORD0007,CUST030,3999,2026-08-20
ORD0008,CUST004,3999,2026-08-07
ORD0009,CUST092,3999,2026-08-14
ORD0010,CUST029,2999,2026-08-19
ORD0011,CUST036,299,2026-08-06
ORD0012,CUST090,2499,2026-08-11
ORD0013,CUST036,799,2026-08-07
ORD0014,CUST098,1999,2026-08-04
ORD0015,CUST012,2499,2026-08-04
ORD0016,CUST046,1999,2026-08-20
ORD0017,CUST034,299,2026-08-15
ORD0018,CUST069,499,2026-08-13
ORD0019,CUST011,3999,2026-08-10
ORD0020,CUST081,4999,2026-08-12
ORD0021,CUST074,999,2026-08-03
ORD0022,CUST006,999,2026-08-10
ORD0023,CUST011,999,2026-08-04
ORD0024,CUST049,1499,2026-08-15
ORD0025,CUST082,1999,2026-08-06
ORD0026,CUST048,1999,2026-08-07
ORD0027,CUST086,1499,2026-08-21
ORD0028,CUST010,4999,2026-08-21
ORD0029,CUST022,3999,2026-08-08
ORD0030,CUST021,2999,2026-08-13
ORD0031,CUST035,3999,2026-08-08
ORD0032,CUST088,1999,2026-08-02
ORD0033,CUST030,299,2026-08-11
ORD0034,CUST052,1499,2026-08-03
ORD0035,CUST028,4999,2026-08-11
ORD0036,CUST028,2999,2026-08-13
ORD0037,CUST083,2999,2026-08-05
ORD0038,CUST034,799,2026-08-08
ORD0039,CUST096,3999,2026-08-18
ORD0040,CUST034,4999,2026-08-14
ORD0041,CUST075,2499,2026-08-12
ORD0042,CUST029,799,2026-08-17
ORD0043,CUST064,499,2026-08-02
ORD0044,CUST015,799,2026-08-21
ORD0045,CUST021,2499,2026-08-20
ORD0046,CUST009,2499,2026-08-13
ORD0047,CUST077,2999,2026-08-17
ORD0048,CUST033,3999,2026-08-01
ORD0049,CUST088,499,2026-08-18
ORD0050,CUST097,1499,2026-08-21
ORD0051,CUST044,499,2026-08-10
ORD0052,CUST056,799,2026-08-15
ORD0053,CUST001,1499,2026-08-17
ORD0054,CUST098,799,2026-08-17
ORD0055,CUST014,1499,2026-08-21
ORD0056,CUST065,4999,2026-08-07
ORD0057,CUST020,1999,2026-08-06
ORD0058,CUST070,3999,2026-08-01
ORD0059,CUST077,1999,2026-08-16
ORD0060,CUST003,499,2026-08-12
ORD0061,CUST040,999,2026-08-02
ORD0062,CUST031,4999,2026-08-03
ORD0063,CUST011,2999,2026-08-03
ORD0064,CUST098,3999,2026-08-05
ORD0065,CUST017,2999,2026-08-18
ORD0066,CUST022,1499,2026-08-17
ORD0067,CUST078,2499,2026-08-07
ORD0068,CUST070,999,2026-08-10
ORD0069,CUST052,1999,2026-08-15
ORD0070,CUST067,2999,2026-08-04
ORD0071,CUST032,999,2026-08-03
ORD0072,CUST044,299,2026-08-19
ORD0073,CUST071,999,2026-08-19
ORD0074,CUST029,299,2026-08-03
ORD0075,CUST091,299,2026-08-08
ORD0076,CUST009,299,2026-08-11
ORD0077,CUST010,3999,2026-08-08
ORD0078,CUST036,2999,2026-08-07
ORD0079,CUST070,799,2026-08-19
ORD0080,CUST074,2999,2026-08-08
ORD0081,CUST061,2499,2026-08-07
ORD0082,CUST013,499,2026-08-14
ORD0083,CUST046,2499,2026-08-14
ORD0084,CUST060,299,2026-08-21
ORD0085,CUST083,499,2026-08-02
ORD0086,CUST052,1999,2026-08-04
ORD0087,CUST032,999,2026-08-07
ORD0088,CUST069,2999,2026-08-05
ORD0089,CUST055,799,2026-08-09
ORD0090,CUST060,999,2026-08-03
ORD0091,CUST057,3999,2026-08-04
ORD0092,CUST007,3999,2026-08-01
ORD0093,CUST012,999,2026-08-06
ORD0094,CUST053,2999,2026-08-16
ORD0095,CUST028,2499,2026-08-02
ORD0096,CUST022,2499,2026-08-01
ORD0097,CUST050,1499,2026-08-15
ORD0098,CUST037,2499,2026-08-18
ORD0099,CUST085,2999,2026-08-05
ORD0100,CUST025,1499,2026-08-07
ORD0101,CUST008,4999,2026-08-18
ORD0102,CUST008,1999,2026-08-02
ORD0103,CUST007,4999,2026-08-16
ORD0104,CUST065,3999,2026-08-06
ORD0105,CUST008,3999,2026-08-03
ORD0106,CUST024,499,2026-08-20
ORD0107,CUST009,999,2026-08-13
ORD0108,CUST016,4999,2026-08-08
