order_id,customer_id,amount_order,order_date,payment_id,amount_payment,status,payment_date,settlement_id,payment_id_settlement,amount,settlement_date,reconciliation_status
ORD0001,CUST082,499,2026-08-01,PAY0001,499.0,success,2026-08-01,SET0001,PAY0001,499.0,2026-08-01,Matched
ORD0002,CUST095,1499,2026-08-08,PAY0002,1499.0,success,2026-08-08,SET0002,PAY0002,1499.0,2026-08-08,Matched
ORD0003,CUST029,799,2026-08-04,PAY0003,799.0,success,2026-08-04,SET0003,PAY0003,799.0,2026-08-04,Matched
ORD0004,CUST087,3999,2026-08-03,,,,,,,,,Missing Payment
ORD0005,CUST076,2499,2026-08-02,PAY0004,2499.0,success,2026-08-02,SET0004,PAY0004,2499.0,2026-08-02,Matched
ORD0006,CUST004,499,2026-08-07,PAY0005,499.0,success,2026-08-07,SET0005,PAY0005,499.0,2026-08-07,Matched
ORD0007,CUST030,3999,2026-08-20,PAY0006,3999.0,success,2026-08-20,SET0006,PAY0006,3999.0,2026-08-20,Matched
ORD0008,CUST004,3999,2026-08-07,PAY0007,3999.0,success,2026-08-07,SET0007,PAY0007,3999.0,2026-08-07,Matched
ORD0009,CUST092,3999,2026-08-14,PAY0008,3999.0,success,2026-08-14,SET0008,PAY0008,3799.0,2026-08-14,Settlement Mismatch
ORD0010,CUST029,2999,2026-08-19,,,,,,,,,Missing Payment
ORD0011,CUST036,299,2026-08-06,PAY0009,299.0,success,2026-08-06,SET0009,PAY0009,299.0,2026-08-06,Matched
ORD0012,CUST090,2499,2026-08-11,PAY0010,2499.0,success,2026-08-11,SET0010,PAY0010,2499.0,2026-08-11,Matched
ORD0013,CUST036,799,2026-08-07,PAY0011,799.0,success,2026-08-07,,,,,Missing Settlement
ORD0014,CUST098,1999,2026-08-04,PAY0012,1999.0,success,2026-08-04,SET0011,PAY0012,1999.0,2026-08-04,Matched
ORD0015,CUST012,2499,2026-08-04,PAY0013,2499.0,success,2026-08-04,SET0012,PAY0013,1999.0,2026-08-04,Settlement Mismatch
ORD0016,CUST046,1999,2026-08-20,PAY0014,1999.0,success,2026-08-20,SET0013,PAY0014,1999.0,2026-08-20,Matched
ORD0017,CUST034,299,2026-08-15,PAY0015,299.0,success,2026-08-15,SET0014,PAY0015,299.0,2026-08-15,Matched
ORD0018,CUST069,499,2026-08-13,PAY0016,499.0,success,2026-08-13,SET0015,PAY0016,499.0,2026-08-13,Matched
ORD0019,CUST011,3999,2026-08-10,PAY0017,3999.0,success,2026-08-10,SET0016,PAY0017,3899.0,2026-08-10,Duplicate Payment
ORD0020,CUST081,4999,2026-08-12,PAY0018,4999.0,success,2026-08-12,SET0017,PAY0018,4999.0,2026-08-12,Matched
ORD0021,CUST074,999,2026-08-03,PAY0019,999.0,success,2026-08-03,SET0018,PAY0019,999.0,2026-08-03,Matched
ORD0022,CUST006,999,2026-08-10,PAY0020,999.0,success,2026-08-10,SET0019,PAY0020,999.0,2026-08-10,Matched
ORD0023,CUST011,999,2026-08-04,PAY0021,999.0,success,2026-08-04,SET0020,PAY0021,999.0,2026-08-04,Matched
ORD0024,CUST049,1499,2026-08-15,PAY0022,1499.0,success,2026-08-15,SET0021,PAY0022,1499.0,2026-08-15,Matched
ORD0025,CUST082,1999,2026-08-06,PAY0023,1999.0,success,2026-08-06,SET0022,PAY0023,1999.0,2026-08-06,Matched
ORD0026,CUST048,1999,2026-08-07,PAY0024,1999.0,success,2026-08-07,SET0023,PAY0024,1999.0,2026-08-07,Matched
ORD0027,CUST086,1499,2026-08-21,PAY0025,1499.0,success,2026-08-21,SET0024,PAY0025,1499.0,2026-08-21,Matched
ORD0028,CUST010,4999,2026-08-21,PAY0026,4999.0,success,2026-08-21,,,,,Missing Settlement
ORD0029,CUST022,3999,2026-08-08,PAY0027,3999.0,success,2026-08-08,SET0025,PAY0027,3999.0,2026-08-08,Matched
ORD0030,CUST021,2999,2026-08-13,PAY0028,2999.0,success,2026-08-13,SET0026,PAY0028,2999.0,2026-08-13,Matched
ORD0031,CUST035,3999,2026-08-08,PAY0029,3999.0,success,2026-08-08,SET0027,PAY0029,3999.0,2026-08-08,Matched
ORD0032,CUST088,1999,2026-08-02,PAY0030,1999.0,success,2026-08-02,SET0028,PAY0030,1999.0,2026-08-02,Matched
ORD0033,CUST030,299,2026-08-11,PAY0031,299.0,success,2026-08-11,SET0029,PAY0031,299.0,2026-08-11,Matched
ORD0034,CUST052,1499,2026-08-03,PAY0032,1499.0,success,2026-08-03,SET0030,PAY0032,1499.0,2026-08-03,Matched
ORD0035,CUST028,4999,2026-08-11,PAY0033,4999.0,success,2026-08-11,SET0031,PAY0033,4999.0,2026-08-11,Duplicate Payment
ORD0036,CUST028,2999,2026-08-13,PAY0034,2999.0,success,2026-08-13,SET0032,PAY0034,2999.0,2026-08-13,Matched
ORD0037,CUST083,2999,2026-08-05,PAY0035,2999.0,success,2026-08-05,SET0033,PAY0035,2999.0,2026-08-05,Matched
ORD0038,CUST034,799,2026-08-08,PAY0036,799.0,success,2026-08-08,SET0034,PAY0036,799.0,2026-08-08,Matched
ORD0039,CUST096,3999,2026-08-18,PAY0037,3999.0,success,2026-08-18,SET0035,PAY0037,3999.0,2026-08-18,Matched
ORD0040,CUST034,4999,2026-08-14,PAY0038,4999.0,success,2026-08-14,SET0036,PAY0038,4999.0,2026-08-14,Matched
ORD0041,CUST075,2499,2026-08-12,PAY0039,2499.0,success,2026-08-12,SET0037,PAY0039,2499.0,2026-08-12,Matched
ORD0042,CUST029,799,2026-08-17,PAY0040,799.0,success,2026-08-17,SET0038,PAY0040,799.0,2026-08-17,Matched
ORD0043,CUST064,499,2026-08-02,PAY0041,499.0,success,2026-08-02,,,,,Missing Settlement
ORD0044,CUST015,799,2026-08-21,PAY0042,799.0,success,2026-08-21,,,,,Missing Settlement
ORD0045,CUST021,2499,2026-08-20,PAY0043,2499.0,success,2026-08-20,SET0039,PAY0043,2499.0,2026-08-20,Matched
ORD0046,CUST009,2499,2026-08-13,PAY0044,2499.0,success,2026-08-13,SET0040,PAY0044,2499.0,2026-08-13,Matched
ORD0047,CUST077,2999,2026-08-17,PAY0045,2999.0,success,2026-08-17,SET0041,PAY0045,2999.0,2026-08-17,Matched
ORD0048,CUST033,3999,2026-08-01,PAY0046,3999.0,success,2026-08-01,SET0042,PAY0046,3999.0,2026-08-01,Matched
ORD0049,CUST088,499,2026-08-18,PAY0047,499.0,success,2026-08-18,SET0043,PAY0047,499.0,2026-08-18,Matched
