settlement_id,payment_id,order_id,amount,settlement_date
SET0001,PAY0001,ORD0001,499,2026-08-01
SET0002,PAY0002,ORD0002,1499,2026-08-08
SET0003,PAY0003,ORD0003,799,2026-08-04
SET0004,PAY0004,ORD0005,2499,2026-08-02
SET0005,PAY0005,ORD0006,499,2026-08-07
SET0006,PAY0006,ORD0007,3999,2026-08-20
SET0007,PAY0007,ORD0008,3999,2026-08-07
SET0008,PAY0008,ORD0009,3799,2026-08-14
SET0009,PAY0009,ORD0011,299,2026-08-06
SET0010,PAY0010,ORD0012,2499,2026-08-11
SET0011,PAY0012,ORD0014,1999,2026-08-04
SET0012,PAY0013,ORD0015,1999,2026-08-04
SET0013,PAY0014,ORD0016,1999,2026-08-20
SET0014,PAY0015,ORD0017,299,2026-08-15
SET0015,PAY0016,ORD0018,499,2026-08-13
SET0016,PAY0017,ORD0019,3899,2026-08-10
SET0017,PAY0018,ORD0020,4999,2026-08-12
SET0018,PAY0019,ORD0021,999,2026-08-03
SET0019,PAY0020,ORD0022,999,2026-08-10
SET0020,PAY0021,ORD0023,999,2026-08-04
SET0021,PAY0022,ORD0024,1499,2026-08-15
SET0022,PAY0023,ORD0025,1999,2026-08-06
SET0023,PAY0024,ORD0026,1999,2026-08-07
SET0024,PAY0025,ORD0027,1499,2026-08-21
SET0025,PAY0027,ORD0029,3999,2026-08-08
SET0026,PAY0028,ORD0030,2999,2026-08-13
SET0027,PAY0029,ORD0031,3999,2026-08-08
SET0028,PAY0030,ORD0032,1999,2026-08-02
SET0029,PAY0031,ORD0033,299,2026-08-11
SET0030,PAY0032,ORD0034,1499,2026-08-03
SET0031,PAY0033,ORD0035,4999,2026-08-11
SET0032,PAY0034,ORD0036,2999,2026-08-13
SET0033,PAY0035,ORD0037,2999,2026-08-05
SET0034,PAY0036,ORD0038,799,2026-08-08
SET0035,PAY0037,ORD0039,3999,2026-08-18
SET0036,PAY0038,ORD0040,4999,2026-08-14
SET0037,PAY0039,ORD0041,2499,2026-08-12
SET0038,PAY0040,ORD0042,799,2026-08-17
SET0039,PAY0043,ORD0045,2499,2026-08-20
SET0040,PAY0044,ORD0046,2499,2026-08-13
SET0041,PAY0045,ORD0047,2999,2026-08-17
SET0042,PAY0046,ORD0048,3999,2026-08-01
SET0043,PAY0047,ORD0049,499,2026-08-18
SET0044,PAY0048,ORD0050,1499,2026-08-21
SET0045,PAY0049,ORD0051,499,2026-08-10
SET0046,PAY0051,ORD0053,1499,2026-08-17
SET0047,PAY0052,ORD0054,799,2026-08-17
SET0048,PAY0053,ORD0055,1499,2026-08-21
SET0049,PAY0054,ORD0056,4999,2026-08-07
SET0050,PAY0055,ORD0057,1999,2026-08-06
SET0051,PAY0056,ORD0058,3999,2026-08-01
SET0052,PAY0057,ORD0059,1999,2026-08-16
SET0053,PAY0058,ORD0060,499,2026-08-12
SET0054,PAY0059,ORD0061,999,2026-08-02
SET0055,PAY0060,ORD0062,4999,2026-08-03
SET0056,PAY0061,ORD0063,2999,2026-08-03
SET0057,PAY0062,ORD0064,3999,2026-08-05
SET0058,PAY0063,ORD0065,2999,2026-08-18
SET0059,PAY0065,ORD0068,999,2026-08-10
SET0060,PAY0066,ORD0069,1999,2026-08-15
SET0061,PAY0067,ORD0070,2999,2026-08-04
SET0062,PAY0068,ORD0071,999,2026-08-03
SET0063,PAY0069,ORD0072,299,2026-08-19
SET0064,PAY0070,ORD0073,999,2026-08-19
SET0065,PAY0072,ORD0075,299,2026-08-08
SET0066,PAY0073,ORD0076,299,2026-08-11
SET0067,PAY0074,ORD0078,2999,2026-08-07
SET0068,PAY0075,ORD0079,799,2026-08-19
SET0069,PAY0076,ORD0080,2999,2026-08-08
SET0070,PAY0077,ORD0081,2499,2026-08-07
SET0071,PAY0078,ORD0082,499,2026-08-14
SET0072,PAY0079,ORD0083,2499,2026-08-14
SET0073,PAY0080,ORD0084,299,2026-08-21
SET0074,PAY0081,ORD0085,499,2026-08-02
SET0075,PAY0082,ORD0086,1999,2026-08-04
SET0076,PAY0083,ORD0087,999,2026-08-07
SET0077,PAY0084,ORD0088,2999,2026-08-05
SET0078,PAY0085,ORD0089,299,2026-08-09
SET0079,PAY0086,ORD0090,999,2026-08-03
SET0080,PAY0088,ORD0092,3999,2026-08-01
SET0081,PAY0090,ORD0094,2999,2026-08-16
SET0082,PAY0091,ORD0095,2499,2026-08-02
SET0083,PAY0092,ORD0096,2499,2026-08-01
SET0084,PAY0093,ORD0097,1499,2026-08-15
SET0085,PAY0094,ORD0098,2499,2026-08-18
SET0086,PAY0095,ORD0100,1499,2026-08-07
SET0087,PAY0096,ORD0101,4999,2026-08-18
SET0088,PAY0097,ORD0102,1999,2026-08-02
SET0089,PAY0099,ORD0104,3999,2026-08-06
SET0090,PAY0100,ORD0105,3999,2026-08-03
SET0091,PAY0101,ORD0106,499,2026-08-20
SET0092,PAY0102,ORD0107,999,2026-08-13
SET0093,PAY0103,ORD0108,4999,2026-08-08
